May 21, 2018 11:33:37 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.SpicyBoys_g12 ,5730 (78%),2850,550,1274,247,694,116,3,0,0
2nd,LURumble.Dementors_g09 ,1659 (22%),800,0,414,34,386,25,0,3,0
$
