May 21, 2018 11:02:10 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.SpicyBoys_g12 ,5470 (68%),2800,300,1283,259,724,105,3,0,0
2nd,LURumble.DopeTeam_g10 1,2544 (32%),750,0,979,109,668,37,0,3,0
$
