May 21, 2018 11:37:07 AM
Results for 4 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.Alligators_g03 1,6721 (64%),3500,400,1522,264,886,149,3,1,0
2nd,LURumble.Dementors_g09 ,3721 (36%),1700,100,1016,128,691,86,1,3,0
$
