May 21, 2018 11:22:40 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.Alligators_g03 1,5323 (67%),2550,300,1441,275,661,96,3,0,0
2nd,LURumble.SpiritOfMorgan_g15 1.0,2623 (33%),1200,0,1076,117,203,28,0,3,0
$
