May 21, 2018 11:20:21 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.YouWontBelieve_g16 ,4182 (53%),1900,150,1184,201,626,120,3,0,0
2nd,LURumble.R2D2_g11 1,3681 (47%),1750,0,1032,166,677,56,0,3,0
$
