May 21, 2018 10:44:37 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.SpiritOfMorgan_g15 1.0,4217 (60%),2400,350,1200,221,46,0,2,1,0
2nd,LURumble.UnihorseForce_g01 1,2829 (40%),1350,150,1137,145,47,0,1,2,0
$
