May 21, 2018 11:27:48 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.SpicyBoys_g12 ,5908 (85%),3400,650,1203,202,343,110,3,0,0
2nd,LURumble.BananaSplit_g02 1,1047 (15%),350,0,533,19,145,0,0,3,0
$
