May 21, 2018 11:47:21 AM
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.SpicyBoys_g12 ,7321 (57%),3750,300,1909,312,895,155,4,1,0
2nd,LURumble.YouWontBelieve_g16 ,5419 (43%),2450,50,1676,255,882,106,1,4,0
$
