May 21, 2018 10:40:56 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.YouWontBelieve_g16 ,4822 (62%),2400,100,1465,260,500,97,2,1,0
2nd,LURumble.SjonsjonsNudistklubb_g14 ,2966 (38%),1300,50,1214,199,173,29,1,2,0
$
