May 21, 2018 10:47:35 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.Alligators_g03 1,4340 (53%),1950,150,1426,272,508,34,2,1,0
2nd,LURumble.Trubbel_g08 ,3900 (47%),1750,100,1463,229,337,21,1,2,0
$
