May 21, 2018 10:33:55 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.R2D2_g11 1,6160 (78%),3150,500,1524,276,580,130,3,0,0
2nd,LURumble.SHARP_g04 1.0,1788 (22%),600,0,1083,63,2,40,0,3,0
$
