May 21, 2018 10:54:32 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.Dementors_g09 ,5362 (65%),2850,450,1514,178,205,164,3,0,0
2nd,LURumble.Monochrome_g05 ,2904 (35%),1400,0,1243,105,104,51,0,3,0
$
