May 21, 2018 10:59:04 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.BananaSplit_g02 1,4525 (72%),3050,350,944,181,0,0,2,1,0
2nd,LURumble.LOA3_g06 1.0,1766 (28%),700,50,874,141,1,0,1,2,0
$
