May 21, 2018 11:31:33 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.YouWontBelieve_g16 ,4666 (59%),2200,250,1219,217,643,137,3,0,0
2nd,LURumble.Alligators_g03 1,3256 (41%),1450,0,1042,156,582,26,0,3,0
$
