May 21, 2018 10:51:54 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.Fsociety_g07 ,3991 (58%),2400,250,1135,192,14,0,3,0,0
2nd,LURumble.Imperiet_g13 1,2909 (42%),1600,0,1101,176,32,0,0,3,0
$
