May 21, 2018 11:25:39 AM
Results for 3 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,LURumble.Dementors_g09 ,5003 (65%),2750,350,1327,225,278,73,2,1,0
2nd,LURumble.Fsociety_g07 ,2695 (35%),1250,50,1054,134,162,46,1,2,0
$
